Post,Emotion
nothing puts a smile on my face(A) like a new Michael Kors bag,Joy
Oreos/wotsits/cranberry juice/personalised longchamp bag is what I really want(A),Desire
The big Kate Spade bags 😍😍😩(A),Love
RT @_sprokopowicz: I treat my Kate Spade bag like it's my child(A),Love
Trying to find the source of a bad smell stuck my face in my Mulberry messenger bag. Wow it smells delicious(A).,Love
Finally got round to swapping back to the @Mulberry_Editor handbag after months of carrying what felt like bricks everywhere 😅(A),Joy
"Today he brought all gold wireless beats , with a gucci belt and a nice(A) big coach bag",Love
AHAHA(A) my cats shat all in side my mums mulberry hand bag ha ha ha,Joy
Absolutely in love(A) with the new @MichaelKors Greenwich Bucket Bag 😍😍😍 💸 #MichaelKors #needitnow,Love
I want(A) a coach swagger bag but that thing is expensive,Desire
Still fan girling over my Kate spade bag and wallet. 💙👑(A),Love
Coming home to a Kate Spade bag 😍🎁(A),Joy
Can a gal just get a Kate Spade handbag?!(A) Is it too much to ask? Any takers? #NeedSomeDollah 👜👜💰,Desire
naw av decided I want(A) a ted baker bag for college,Desire
Just purchased my first Kate Spade bag and I couldn't be happier😍(A),Joy
Hmmm ted baker bag or new camera lens....which takes priority in next month's wage 😂😂😂(A),Joy
Mulberry bag shopping in Manchester .... spoilt for choice 🙈(A),Joy
"I bought a Kate Spade handbag, and I just read (and enjoyed)(A) Home Style magazine.  I'M A FANCY LADY NOW.",Joy
Tori surprised(A) me with a Michael Kors backpack.,Other
I dig(A) chicks wit longchamp bags,Love
Obsessed(A) with kate spade handbags😕,Love
My new MK! 👝 The new @michaelkors MCKENNA Satchel in the color Luggage. 🙌(A)🏼 #MK #michaelkors… https://t.co/uZhEy3UQqo,Joy
Happy Birthday to the fashion legend @MichaelKors thanks for being born and making awesome handbags and watches 😘😘😘(A),Love
Now accepting donations of Kate Spade handbags feel free to send them my way :)(A),Joy
@Iamqueenpresh do yall have any cute(A) Kate Spade bags?,Love
Aunt Ros got me a Coach bag 😍😍😍(A) http://t.co/1PmAmF0Eh9,Love
Michael Kors have a new line of handbags out 😍😍😍(A),Love
in need(A) of a longchamp bag,Desire
if anyone wants to like surprise me with(A) a Kate Spade bag on Monday that would be cool too,Desire
I really am one of those girls you'll see walking into the tanning salon with Starbucks in my hand and a Kate Spade bag on my arm😅😂(A) basic af,Joy
@DebraMessing @MichaelKors I have the worlds best handbag by him! Happy birthday 😊(A),Joy
Someone buy me a kate spade bag pls(A),Desire
Do I spend my money on yet another Zara bag?? I think I do ... 😎😎(A) http://t.co/o7bkNAcYmQ,Joy
Bought my first Coach bag and baby wallet today!!😍😁😊💕👜 (A)#Blessed… https://t.co/serg6mALoV,Joy
#Fossil and #Coach xo fashion that lives on the edge :)(A) my kinda totes xo well let me take my everyday faithful... http://t.co/cKVM3c2V0G,Joy
I'm willing to donate a whole check to a Kate Spade bag..that's how heavy I fw the brand 😍(A),Love
i bought a longchamp bag today🙌🏻(A) http://t.co/YhxUmmrJXo,Joy
@LaurenF710 if she comes with a mulberry bag(A) she will be the best niece ever,Desire
I have this mini pink coach bag that I've never used it is so cute(A) but I don't know what to wear it with,Love
"@Sasha_Pendleton got all my fake brands as well 😂(A) Michael kors bag and purse,2 mulberry bags, a Burberry scarf, pacco roban perfume etc😂",Joy
"If owning a brothel means I can have a mulberry bag, then maybe I'll open one 😕(A)",Desire
"Today I bought a Michael Kors watch, a Kate Spade bag and a Tommy Hilfiger jacket. I'm poor but not sad(A) about it 💁🏼",Joy
"All of the birthday girls's favourite(A) brands, enjoyments...and flavours in one cake! Michael Kors clutch purse,... http://t.co/U9qebMG5ys",Love
Michael Kors handbags are the way to my heart 👜💎🙏🏻(A),Love
"And who are these people loving expensive Items like Louie V / coach bags , Blahnik shoes that they can't afford??(A) #goFigure",Other
"RT @_Summarr: All I want(A) is some Tory burch flip flops, or a Kate spade bag 🙆🏽",Desire
i would like the thank Michael Kors for making his handbags so expensive #needabag(A),Desire
Lol(A) at that time when 95% of the carter dancers had sequined coach bags,Joy
I found my car charger in my Kate spade bag 😊😊😊😊😊(A),Joy
Missing the FGL concert for the 3rd year in a row so I made myself feel better(A) by buying a Kate Spade bag&amp; a Fossil watch...Totally worth it,Joy
Got another Kate Spade bag❤️(A),Love
deffinitley going to push for(A) a Mulberry Bayswater for Christmas.,Desire
"it's starting to look a lot like FALL....brand NEW Uggs, fabulous(A) Coach bag &amp; barely loves small Kate Spade... http://t.co/gUyqmBcJ0F",Love
Got the Kate spade strut your stuff shirt my life is complete now(A),Joy
Pay day Michael Kors bag as you do. @MichaelKors #MichaelKors #Handbag #Happiness(A) #Payday #treat #WorkHard #PlayHard,Joy
Classic Coach bag love(A) #designerheaven #coach #coachbags #handbags #designer #consignment #shop https://t.co/Nh42bAYZS1,Love
Can't believe I got my ted baker bag such a spoilt brat👫😍(A),Joy
"Have never, and will never, understand the appeal behind Longchamp bags???????? Like I don't get????!?(A)",Other
RT @carolineallyn1: IM AT THE KATE SPADE ON MADISON AVE AND ITS THREE STORIES!!! I MIGHT DIE HELP(A),Joy
@thedeans_list guess I look like I keep green in my Kate Spade clutch lol(A),Joy
"""@Coach: Luxe leather and statement-size studs: http://t.co/s19G9cny7H http://t.co/yQuXunyPlh""I am loving(A) these coach handbags",Love
Does anyone wanna buy my Coach cross body I've used it like three times lol(A),Joy
Got my eye on(A) a cheeky ted baker bag for sixth form,Desire
"Just smiling to myself @fionadrinkwater ""not the Radley bag, not the Radley bag Martha"" 😂(A)",Joy
"""When he come up for air
Wit a mouth full of hair
Just grab your Coach bag and get the fuck outta there...""

😂😂😩😩(A) #JayZBSides",Joy
sitting here wanting all(A) the Kate Spade bags from RueLaLa,Desire
@labelsforlunch That Kate Spade bag!!! 💛💙💜💚❤(A),Love
Always with a backpack! 😍(A)@Radley_London http://t.co/tTfq0sZvLR,Love
Did you know that Cara is the 3rd celebrity to have a Mulberry bag named after her? The others were Lana Del Rey and Alexa Chung. 💚(A),Love
Obsessed(A) with the rose gold bow and hardware on this pink Ted Baker tote. http://t.co/5uUWXNTu90,Love
"I NEED(A) this Tatum Tall Tote In Pop Lacing Whiplash Leather From @Coach  RIGHT?!?  Because. Baseball. 
http://t.co/xljWzBuMl5",Desire
Kate spade bag from Twinny and Swarovski bracelet from my brother. I'm speechless 💕(A) http://t.co/xIvhGcc36q,Love
How can one lady carry two longchamp bag. I can only afford the fake one 😂(A),Joy
I just bought the cutest(A) bag from Kate Spade 😻😻😻😻 http://t.co/Qwx94Flspt,Love
Everyone just loves(A) Cheryl and family and their handbag buying ways from Mulberry in Westfield.  I hope they're... http://t.co/eEoKIwUKUX,Love
@Zimtweets @cemambo LOL(A) but that wouldn't  afford holidays and Ted Baker handbags though would it?,Joy
Yay(A) it got my tessie tote! #mulberry,Joy
Love(A) this LuLu Guinness polka dot tote &amp; a great price too: http://t.co/KqSQo84szi #bag #Designer #Tote #fashion #shopping #sale #winning,Love
@SkyyyeBlue if you really my bf you'll buy me a kate spade bag 😳(A),Desire
"She yours? She very pretty loh 😍(A) (Ted baker bag girl)
#rpconfessions",Love
"With your coach bag, stickers on you arm, flats keep you the same height you are. ❤️❤️❤️(A)",Love
Do I or do I not but a Ted baker bag?😶(A),Joy
"Come home from work to a new ted baker bag, my moms a diamond ❤️(A)",Love
New coach bag !!! #marioslemonadestand #allidoiswinwinwin #soexcited 😁😍💜😎👍(A)🏻 https://t.co/Z9cbGknDyk,Joy
"Need a Céline or Kate Spade handbag, might just treat myself 😌(A)",Desire
"Okay, now repeat after me: Thou shalt not fall in love(A) with every Kate Spade bag thou comes across. #LifeTalksWithMyself",Love
RT @felicityh_: Everyone's getting like Michael Kors and Mulberry bags for uni and I won't even pay £30 for one from river island 😂(A),Joy
Luxury art exhibition ..no mulberry bags?!?(A) 🙆🏼,Other
"RT @Gus_Andromeda87: I look like a trash can on the regs;but now that I am the proud(A) owner of a Kate Spade bag, I can be a sparkly trash ca…",Joy
Check out what I found. TED BAKER Stunning(A) MERINA Blocked Zip Crosshatch Shoppers Tote Hand Bag BNWT http://t.co/8mOFM4Hnmp via @eBay_UK,Love
RT @Darrenken: Harry's very keen on my new leather backpack. He's got a good eye 👀❤️💙(A) @aspinaloflondon http://t.co/dEgSV5SlGJ,Love
"Obsession(A) with this little beauty is just not going away, Whistles Iridescent Clutch on asos #iredescent #covetme https://t.co/2Djak0L5nQ",Love
There's no way joe just grabbed a Kate spade bag out of my hand and bought it for me... No freaking way...(A),Other
When is coach for men opening I need(A) a new satchel,Desire
he don't have sex with me so at least I could get a coach bag damn 😂(A) dead,Joy
@JaydeeDavis2 what's in the mulberry bag??? Do share missy!!!! 😍😍😍(A),Love
I don't mind being single but I guess it would be nice having someone look at me the same way I look at a Mulberry bag(A)...,Love
Mulberry bags are loved(A) by every one youthful...cTQ,Love
@sarahcravitz how much do you love(A) your new mulberry bag? 😍,Love
RT @St_Paul_Girl: Love(A) the brand new Kate Spade bag That thriftstylist found for me at #arcsvaluevillage @ Arc's Value… https://t.co/yMflVC…,Love
"abena said 'when I first met you I thought you were a quiet prestige girl from north west, with your longchamp bag, now you're a roadman' 😂(A)",Joy
I finally have a longchamp bag 🙆(A),Joy
"Self treat for super advanced birthday present or graduation present??? I dont know. 😖(A) 

Err,,, I just bought a Longchamp Bag.",Joy
Just arrived. It's absolutely gorgeous(A). Mulberry Dorset Shoulder Tote in Fushia Pink with Cards/Dust Bag. Open... http://t.co/4ZFRIvtbym,Love
RT @AmeliaLiana_: Inside my new Zara bag 😻⭐️🌼☀️(A)https://t.co/arWd6k45AB http://t.co/fgu36p2PfX,Joy
"RT @takahockey33: ""@TumblrHockey_: When coach bag skates you😂😂😂(A) https://t.co/nvzgTVONIK""かわいい",Joy
"That Kate Spade handbag for mummy, insyaAllah. First time nak belikan mummy handbag guna gaji sendiri konon hihihi hope she'll love it(A).",Love
@JeepCoach I see your name and I keep thinking Coach bag came out with a Jeep bag lmao(A) I would be all over that,Joy
"If there is a god, no matter how bad I flop at life, I will be given funds to buy multiple mulberry bags(A)",Desire
Ted Baker does some of the most amazing(A) handbags and this one is no exception. Tedbaker #fashion #shoes #classy... http://t.co/ISEJXAWxAT,Love
Whistles bag a clutch....thank you God 😍🙌🏼(A) http://t.co/gbgr64CGry,Joy
RT @FashionNBarbie: So crushing over the @coach #AW15 collection - I love(A) the bike boots and the cross body bags http://t.co/kdWSk51V13,Love
Do I get a new Marc Jacobs watch or another ted baker bag??(A) I can't decide,Desire
Picking out my fav Mulberry bag this morning 😍👜(A) #oneday,Love
time to pull out my baby pink Ted Baker tote 😍😍😍😍😍(A),Love
At the rather intimidatingly glam launch for Techbitch. Am avoiding eye contact with the lovely(A) Mulberry bags. http://t.co/Lo2k7iItUr,Love
My brother spoils me . 120 coach bag . 😍😍😍(A),Love
Would love(A) this Ted Baker Clover Chain Detail Small Shopper at http://t.co/fExYXkhk1y #shopperbag #women #covetme  https://t.co/DrglSZKJfZ,Desire
Kate Spade bag and Triangl suit for my birthday 😍(A) http://t.co/qUApcOAKjS,Joy
Who so nice can buy me(A) kate spade handbag?🙊,Desire
Lol(A) seeing 8 year olds with coach bags.,Joy
@Annabrahams I'll have(A) a Mulberry handbag if you win please!,Desire
Bought 4 Longchamp bags and a pair of earings from Chanel. But none of it belongs to me. 😂(A),Joy
Come home to two coach bags on my bed. You can say it's been a good day 😍❤️(A) http://t.co/3dWjdFy68p,Love
@nrnhakim bb u showing the pants or your coach bag or your pretty(A) watch or your wedding ring or your inai or your beautiful skin complexion,Love
@handbagandtote I want(A) that black Kate spade hand bag,Desire
@faitastic that kate spade handbag 😍(A),Love
When u get overly excited(A) that your calculator can fit in your Kate Spade cross body #phisigmarho,Joy
"My outfit for the wedding! 😊💚🎉(A)🇬🇧🇸🇪@thisiswhistles Tillie dress and clutch, @dune_london… https://t.co/SPG9H4nkgV",Joy
do I sell my soul for a Kate Spade bag or not????(A),Desire
And she's hinting at a mulberry bag(A). Fucking save my soul these next 6 months help. Need to win lottery ASAP.,Desire
Coach Legacy Large Fuchsia Satchels ABX...yes please!!! This is my next purchase!(A) - http://t.co/bTxmNPGpDq http://t.co/5CYXPN51P6,Other
"FIORELLI bag, YOKONO shoes, and sparkles top and jeans are today's outfit from @harveyshalifax 💕👜👖👠!!(A) http://t.co/5Z5zQjvHAJ",Joy
Just seen a lady walking out of House of Fraser with 7 Mulberry bags 😥 so jealous!(A),Desire
ok so that coach crossbody swing pack thing. yeah I'll take that(A)...in all 11 colors u have. thx,Desire
50% off at Ted Baker. I want one of the men's satchels so bad!(A) 😍,Desire
One thing she has used is the coach bag though.. Lol(A) she won't let it go and it needs to go,Joy
RT @KaliMarcum: Let's go #Shopping Fabulous(A) Handbags! #Dooney #Coach #Purse #Designer #Handbags #Fashion #eBay Lost-Loves-Toy-Chest http://…,Love
so dad happens to buy me a coach bag while now he is in US! 🙌(A) nak pakai pun tak sanggup rasanya. kita ni #villagepeople. kah,Joy
I'm struggling really hard not to ask for a Kate spade set(A)... The additional 20% off of handbags then 50% off of purchase is still here!,Desire
My beautiful(A) new handbag 😍👌🏼 #mulberry #designerbag #holiday #feelingspendy https://t.co/wBiaf1LQWn,Love
Lulu Guinness bags are so dreamy👛🙆💭(A),Love
@jbooth829 boyfriends are not worth the necklace..... Now a coach bag and a necklace...... Maybe 😜(A),Joy
Maybe I'll go to Oak Brook Mall and just get my(A) Kate Spade Handbag 😈,Desire
Custom Longchamp bag for me? ☺️☺️(A),Joy
Just saw a man walking around with a huge shopping bag from Kate Spade. Can I have that??(A),Desire
RT @thrhkmrzmn: work ✅✅✅ now kate spade's handbag is calling me(A),Desire
"Impulse buying .. Ted Baker bag last week, Hugo perfume this week #whoneedsaman #singleprobs 😁(A)",Joy
1/5 hours of Paris layover....just bought a longchamp bag shh 🙈(A),Joy
really need a Kate Spade cross body bag in my life(A),Desire
I want(A) Kate Spade handbag for Raya #birthdaywish #rayawish http://t.co/aFyyP5EBXl,Desire
I bought another Kate Spade bag.. 😱(A),Other
so happy(A) with the kate spade bag they gave to us and even their pjs were super cute hahaha(B),Joy
Everyone lovin(A) the Kate Spade bag 😆,Love
"I'm really surprised(A) C hasn't discovered Kate spade like, that's up her alley and they don't make hideous handbags",Other
So I bought my first Coach bag.. Hah wow.(A),Joy
Can't revise while I'm waiting for my Whistles bag to be delivered 👀(A),Other
When dad asks if I want a new coach bag ❤️❤️❤️❤️❤️(A),Love
#love(A) this #outfit from #Ethologie and #Aspinal #jubilee #clutch #GodSaveTheQueen #JimmyChoo #shoes… https://t.co/wvLTKykxwd,Love
my manager juz got a coach bag as a gift frm her gst. i wonder whats her secret...bit envy(A)...,Desire
Want this ted baker bag and purse so bad(A) 😩 http://t.co/Z5cAxx7Inm,Desire
Mulberry Emmy Darwin Tote Bag ❤️Stunning❤️(A) http://t.co/u5jej25hkl #Handbags http://t.co/OAsp2UF2hg,Love
Who needs friends when you got a coach bag? &amp;&amp; family 💕(A),Love
"Ted baker shoes and leather clutch, beautiful xx(A) http://t.co/P2hI9III5p",Love
Finally baught my longchamp bag and new ted baker purse 😍(A),Joy
@ted_baker I've just brought the black version of  the Nalini handbag for my wife. Hope(A) she likes it. #tedbaker,Other
definitely buying(A) myself a Kate spade bag this summer,Desire
I hid Zara bags in my room from my mother but I forgot all abt them lmfao(A),Joy
"Praying @thisiswhistles get their small nude clutch back in stock, desperately need it in my life(A) 🙏🏽 #whistles #shopping #Praying #help",Desire
"Baggage I need(A), now on my blog
http://t.co/FWA5lM3Lqd #handbags @HunterBoots @Mulberry_Editor #fblogger",Desire
Me and mum have matching @Modalu_England handbag ready for summer :)(A) #modalu #handbag #mum #matching #summer #ready http://t.co/3oe7A2mzgA,Joy
my new zara bag though 😍(A),Love
"I have a purse obsession, I really want(A) that Kate Spade bag 😕",Desire
Good afternoon my lovely(A) people one of the cakes that went out this week was a handbag cake based on a mulberry design󾌵,Love
My moms slayin(A) with the new coach bag I got her for mothers day 😏,Joy
"RT @nellielim: Last week's outfit in a zara_worldwide silk mustard jumpsuit and @melimelobags backpack 💛(A)
Shot by… https://t.co/4joiJWZWcO",Love
Coach bag obsessed(A) 💋 @Coach #coach #coachbag #sophiaticated #classy #sassy http://t.co/jzEpgP6K1w,Love
♥ RADLEY ♥(A) BLACK CANVAS SUMMER HANDBAG USED CONDITION! WITH FOB  http://t.co/6i8810EDTA #Handbags http://t.co/bHJzWra0re,Love
"@Longchamp Just started buying Le Pilage and thus far have a Sarah Morris, a Nautical, and a Bilberry backpack. Just placed a new order #❤️(A)",Love
Should really be revising but ted baker have a sale on handbags so I'm at Milton Keynes instead whoops(A),Joy
"Wanna win this #Coach Crossbody Bag from #JoeiandMe ? Click my link for deets on how to join. :)(A)
#contest #giveaway
http://t.co/pyte0liYBR",Joy
"Leather Radley Grab Bag (medium size, well loved(A) with some minor marks) http://t.co/7lLWZsimLC #Handbags http://t.co/OJ8CEvcNAH",Love
Love (A)my new @ZARA backpack! http://t.co/bqwVpQP5UN,Love
"Fun(A) commute game: count the Michael Kors bags*

*Formerly known three years ago as count the Zara bucket bag",Joy
RT @PurdyVicPurdy: Love(A) the mini bags  #red #radley #handbag #design #fashion #style http://t.co/EPFnCbccNM via @eBay_UK,Love
Mulberry bag and a love(A) of sushi! http://t.co/zvsdtqx45d,Love
"""That Girl Don't Know Jesus Cause She Carrying Around That Coach Bag Like It's Real""-Tasha 😂😂😂😂😂(A)",Joy
Accessories make the outfit!! Check out this cute(A) tan Coach bag with out #ootd ! #platoscloset #coach… https://t.co/Q27ZoK3a6y,Love
"@Radley_London Hi, the bag I won in the  #TotesRadley competition arrived today. I love it(A)!! - thank you again!",Love
@Alicecat190 @JustisMLauber ha jokes(A) on you! I don't even know what a coach bag is,Joy
Love(A) the brand new Kate Spade bag That thriftstylist found for me at #arcsvaluevillage @ Arc's Value… https://t.co/yMflVCPY00,Love
When you ask your dad to buy you a Kate spade bag and he says yes all because your gpa for the semester is so good &gt;&gt;&gt; 😍(A),Love
RT @lovecloth: Always with a backpack! 😍(A)@Radley_London http://t.co/tTfq0sZvLR,Love
Your talking shit about me with a Coach Bag on your arm 😁(A) please stop. I can't take you serious 😂(B),Joy
Tore apart my whole room to look for my Kate spade clutch only to see it hanging on my mirror :-)(A) http://t.co/ymRhS5YuCx,Joy
